Date : 2022-11-27 16:21:03
Directory : /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube
Total : 129 files,  83547 codes, 167 comments, 1160 blanks, all 84874 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/sequelize.js                                              | JavaScript         |         32 |          0 |         11 |         43 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/config/sequencer.js                                              | JavaScript         |          8 |          0 |          3 |         11 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/awayResult.js                               | JavaScript         |        390 |          0 |          1 |        391 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/homeResult.js                               | JavaScript         |        390 |          0 |          0 |        390 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/index.js                                    | JavaScript         |          8 |          0 |          2 |         10 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state01.js                                  | JavaScript         |        195 |          0 |          2 |        197 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state02.js                                  | JavaScript         |        195 |          0 |          2 |        197 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/leaderboard/state03.js                                  | JavaScript         |        195 |          0 |          1 |        196 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/allMatches.js                                   | JavaScript         |        387 |          0 |          2 |        389 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/index.js                                        | JavaScript         |          8 |          0 |          2 |         10 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/onlyFinished.js                                 | JavaScript         |        323 |          0 |          2 |        325 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/entities/matches/onlyInProgress.js                               | JavaScript         |         67 |          0 |          2 |         69 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/matches.js                                      | JavaScript         |        323 |          0 |          2 |        325 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/teams.js                                        | JavaScript         |         19 |          0 |          2 |         21 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/expected_results/trybe_football_club.js                          | JavaScript         |        412 |          0 |          2 |        414 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/commands.js                                                | JavaScript         |         31 |          0 |          4 |         35 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/configSequelize.js                                         | JavaScript         |         11 |          0 |          1 |         12 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/dataTestIds.js                                             | JavaScript         |         73 |          0 |          1 |         74 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/inserts.js                                                 | JavaScript         |         59 |         12 |         20 |         91 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/logInto.js                                                 | JavaScript         |         30 |          0 |         16 |         46 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/query.js                                                   | JavaScript         |         17 |          0 |          1 |         18 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/testCoverage.js                                            | JavaScript         |         21 |          0 |          7 |         28 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/urls.js                                                    | JavaScript         |         11 |          0 |          3 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/users.js                                                   | JavaScript         |         34 |          0 |          1 |         35 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/util.js                                                    | JavaScript         |         86 |          2 |         24 |        112 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateLeaderboard.js                                     | JavaScript         |         75 |          0 |         16 |         91 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/validateMatches.js                                         | JavaScript         |         39 |          0 |         11 |         50 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/__tests__/utils/waitForResponse.js                                         | JavaScript         |         77 |          0 |         10 |         87 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/.dockerignore                                                  | Ignore             |          4 |          0 |          1 |          5 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/.eslintrc.json                                                 | JSON with Comments |        148 |          0 |          0 |        148 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/Dockerfile                                                     | Docker             |          7 |          0 |          0 |          7 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/nyc.config.js                                                  | JavaScript         |         11 |          0 |          1 |         12 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/package-lock.json                                              | JSON               |     16,903 |          0 |          1 |     16,904 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/package.json                                                   | JSON               |          8 |         58 |          0 |         66 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/app.ts                                                     | TypeScript         |         25 |          1 |          9 |         35 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/config/database.ts                                | TypeScript         |         15 |          0 |          3 |         18 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/controller/login.controller.ts                    | TypeScript         |         11 |          0 |          3 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/controller/matches.controller.ts                  | TypeScript         |         31 |          0 |          6 |         37 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/controller/teams.controller.ts                    | TypeScript         |         18 |          0 |          5 |         23 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/interfaces/login/Ilogin.ts                        | TypeScript         |          7 |          0 |          1 |          8 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/interfaces/matches/IMatch.ts                      | TypeScript         |          8 |          0 |          1 |          9 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/middlewares/match.validations.ts                  | TypeScript         |         11 |          0 |          5 |         16 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/middlewares/token.check.ts                        | TypeScript         |         11 |          0 |          4 |         15 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/middlewares/validations.ts                        | TypeScript         |          5 |          0 |          3 |          8 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/migrations/20221123205009-create-users-table.js   | JavaScript         |         32 |          0 |          3 |         35 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/migrations/20221123205112-create-teams-table.js   | JavaScript         |         21 |          0 |          2 |         23 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/migrations/20221123205153-create-matches-table.js | JavaScript         |         54 |          0 |          3 |         57 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/migrations/99999999999999-create-z.js             | JavaScript         |         13 |          0 |          1 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/models/ExampleModel.ts                            | TypeScript         |         11 |         13 |          7 |         31 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/models/Matches.ts                                 | TypeScript         |         61 |          1 |          6 |         68 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/models/Teams.ts                                   | TypeScript         |         25 |          1 |          4 |         30 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/models/User.ts                                    | TypeScript         |         39 |          2 |          4 |         45 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/models/index.ts                                   | TypeScript         |          4 |          0 |          3 |          7 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/routes/login.router.ts                            | TypeScript         |          8 |          0 |          5 |         13 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/routes/matches.router.ts                          | TypeScript         |         10 |          0 |          4 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/routes/routes.ts                                  | TypeScript         |          9 |          0 |          4 |         13 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/routes/teams.router.ts                            | TypeScript         |          6 |          0 |          4 |         10 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/seeders/20211116145440-teams.js                   | JavaScript         |         61 |          0 |          2 |         63 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/seeders/20211116145458-matches.js                 | JavaScript         |        349 |          0 |          2 |        351 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/seeders/20211205212238-user.js                    | JavaScript         |         21 |          2 |          2 |         25 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/service/login.service.ts                          | TypeScript         |         20 |          0 |          7 |         27 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/service/matches.service.ts                        | TypeScript         |         61 |          0 |         10 |         71 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/service/teams.service.ts                          | TypeScript         |         15 |          0 |          7 |         22 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/database/validations/login.schema.ts                       | TypeScript         |         15 |          0 |          4 |         19 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/server.ts                                                  | TypeScript         |          4 |          0 |          3 |          7 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/src/tests/change.me.test.ts                                    | TypeScript         |         14 |         21 |         13 |         48 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/tsc_eval.sh                                                    | Shell Script       |          5 |          1 |          3 |          9 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/backend/tsconfig.json                                                  | JSON with Comments |         20 |          2 |          0 |         22 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/docker-compose.dev.yml                                                 | YAML               |         52 |          4 |          1 |         57 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/docker-compose.yml                                                     | YAML               |         51 |          4 |          1 |         56 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/.dockerignore                                                 | Ignore             |          1 |          0 |          1 |          2 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/.env                                                          | Properties         |          1 |          0 |          1 |          2 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/Dockerfile                                                    | Docker             |          5 |          0 |          0 |          5 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/package-lock.json                                             | JSON               |     38,551 |          0 |          1 |     38,552 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/package.json                                                  | JSON               |         48 |          0 |          1 |         49 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/public/index.html                                             | HTML               |         19 |         19 |          1 |         39 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/App.js                                                    | JavaScript         |         19 |          0 |          3 |         22 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/AddNewMatchBtn.jsx                             | JavaScript React   |         14 |          0 |          3 |         17 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/CreateNewGame.jsx                              | JavaScript React   |         89 |          0 |          8 |         97 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/EditGame.jsx                                   | JavaScript React   |         86 |          0 |          7 |         93 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/GameFilter.jsx                                 | JavaScript React   |         36 |          0 |          5 |         41 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/GamesTable.jsx                                 | JavaScript React   |        153 |          0 |         12 |        165 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/Header.jsx                                     | JavaScript React   |         54 |          0 |          7 |         61 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/LeaderboardBtn.jsx                             | JavaScript React   |          8 |          0 |          3 |         11 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/LeaderboardTable.jsx                           | JavaScript React   |        148 |          0 |          9 |        157 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/Loading.jsx                                    | JavaScript React   |          7 |          0 |          3 |         10 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/LoginBtn.jsx                                   | JavaScript React   |          8 |          0 |          3 |         11 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/MatchesBtn.jsx                                 | JavaScript React   |          8 |          0 |          3 |         11 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/Scoreboard.jsx                                 | JavaScript React   |         32 |          0 |          5 |         37 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/TableFilter.jsx                                | JavaScript React   |         37 |          0 |          5 |         42 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/components/TeamOption.jsx                                 | JavaScript React   |         27 |          0 |          4 |         31 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/images/index.js                                           | JavaScript         |          5 |          0 |          1 |          6 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/index.js                                                  | JavaScript         |         12 |          0 |          2 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/pages/Games.jsx                                           | JavaScript React   |         45 |          0 |          6 |         51 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/pages/Leaderboard.jsx                                     | JavaScript React   |         37 |          0 |          5 |         42 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/pages/Login.jsx                                           | JavaScript React   |         86 |          0 |         12 |         98 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/pages/MatchSettings.jsx                                   | JavaScript React   |        111 |          0 |         17 |        128 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/services/requests.js                                      | JavaScript         |         16 |          0 |          6 |         22 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/app.css                                            | CSS                |          8 |          0 |          2 |         10 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/components/header.css                              | CSS                |         82 |          0 |          9 |         91 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/components/leaderboardTable.css                    | CSS                |         94 |          0 |         10 |        104 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/games.css                                    | CSS                |        177 |          0 |         25 |        202 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/leaderboard.css                              | CSS                |         44 |          0 |          5 |         49 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/login.css                                    | CSS                |         78 |          0 |          9 |         87 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/app/frontend/src/styles/pages/matchSettings.css                            | CSS                |        101 |          0 |         17 |        118 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/apps_install.sh                                                            | Shell Script       |         10 |          1 |          3 |         14 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/data-testid.md                                                             | Markdown           |         51 |          0 |         11 |         62 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/db.example.sql                                                             | SQL                |         51 |         18 |         18 |         87 |
| /mnt/popOS/home/harpop/Projects/Projetos Back-End/sd-022-b-trybe-futebol-clube/dockerfile_denylist.sh                                                     | Shell Script       |         32 |          1 |          6 |         39 |
